Beetle_ID,Color_Code,Collection_Site_Type,Plot_ID,Date_Starvation,Date_Release,Date_Collection,Treatment,Release_Site_Type,Release_Plot_ID,Cage_ID,Species,Weight_g,Weight_After_starvation_g,Weight_After_Field_g,Status_In_Field,Date_Weight_In_Lab,Weight_After_Lab_g,Second_Date_Weight_in_Lab,Second_Weight_in_Lab_g,Eggs,Notes
B006,R-R-B-B,Woodland,BN,04/06/2025,06/06/2025,09/06/2025,Competition,Woodland,MC,C3,Nebria brevicollis,0.094,0.082,0.078,Alive,,,,,NA,Yes. Accidental blue streak between the top red dots. Still alive but died shortly after collection from the field.
B014,R-R-Y-B,Woodland,GT2,11/06/2025,14/06/2025,17/06/2025,Control,Woodland,BN,C8,Abax parallelepipedus,0.272,0.2305,0.148,Alive,,,,,NA,Yes
B056,R-Y-B-Y,Woodland,GT1,19/06/2025,21/06/2025,24/06/2025,Competition,Woodland,MC,C23,Pterostichus madidus,0.143,0.132,0.100,Alive,26/06/2025,0.083,NA,NA,NA,Yes. Appears dead but small twitching of leg. Died a day later in the lab.
B065,B-R-R-R,Woodland,MC,19/06/2025,21/06/2025,24/06/2025,Competition,Woodland,BN,C6,Pterostichus madidus,0.119,0.105,0.112,Alive,30/06/2025,0.091,10/07/2025,0.081,NA,Yes. This beetle was in a box deeper in soil ad had a lot of substrate. Died in the lab.
B069,B-R-B-R,Grassland,NF2,26/06/2025,27/06/2025,30/06/2025,Combined,Woodland,GT1,C16,Abax sp.,0.638,0.584,0.598,Alive,10/07/2025,0.534,21/07/2025,0.434,No,Yes
B070,B-R-B-B,Grassland,NF2,26/06/2025,27/06/2025,30/06/2025,Translocation,Woodland,GT2,C11,Pterostichus madidus,0.148,0.131,0.108,Alive,10/07/2025,0.071,NA,NA,Yes,Yes. Close to laying eggs. Died in the lab.
B074,B-R-G-B,Grassland,NF1,26/06/2025,27/06/2025,30/06/2025,Combined,Woodland,GT2,C2,Abax parallelepipedus,0.340,0.288,0.273,Alive,10/07/2025,0.204,NA,NA,Yes,Yes. Close to laying eggs. Died in the lab.
B075,B-R-G-G,Woodland,BN,26/06/2025,27/06/2025,30/06/2025,Translocation,Grassland,LC,C24,Pterostichus madidus,0.150,0.131,0.097,Alive,,,,,No,Yes
B079,B-R-Y-G,Woodland,GT2,26/06/2025,27/06/2025,30/06/2025,Competition,Woodland,GT2,C9,Abax parallelepipedus,0.320,0.266,0.252,Alive,10/07/2025,0.182,NA,NA,No,Yes. Died in the lab.
B082,B-B-R-B,Woodland,GT1,26/06/2025,27/06/2025,30/06/2025,Competition,Woodland,GT2,C9,Abax sp.,0.442,0.406,0.382,Alive,10/07/2025,0.279,21/07/2025,0.230,No,Yes. Slow movement might die soon. Died in the lab.
